Name,Year,Brand,Mileage,Price,Reviews,Rating,BrandNum
2015 GMC Sierra 1500 SLE,2015,GMC,136285,25495,243,4.8,4
2017 Chevrolet Silverado 1500 Custom,2017,Chevrolet,26506,33995,83,4.7,6
2020 Ford F-150 Lariat,2020,Ford,20428,43500,59,4.3,0
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,20825,49700,1175,5.0,6
2007 Chevrolet Avalanche 1500 LTZ,2007,Chevrolet,187100,12990,7,4.3,6
2018 Toyota Tundra SR5,2018,Toyota,21656,38272,23,2.8,3
2018 Ford F-150,2018,Ford,42095,48995,0,0.0,0
2019 Chevrolet Silverado 1500 RST,2019,Chevrolet,34694,42999,197,4.9,6
2015 RAM 1500 Tradesman/Express,2015,RAM,135298,18918,394,3.2,1
2018 GMC Sierra 1500 SLT,2018,GMC,54389,36995,2560,4.8,4
2017 Ford F-250 Lariat,2017,Ford,55106,53995,2560,4.8,0
2017 Ford F-350 XL,2017,Ford,35592,46000,1562,4.0,0
2020 RAM 1500 Laramie,2020,RAM,4770,45998,16,3.7,1
2014 RAM 1500 Laramie,2014,RAM,109000,24900,7,4.1,1
