Name,Year,Brand,Mileage,Price,Reviews,Rating,BrandNum
2017 RAM 1500 Express,2017,RAM,23483,29689,100,4.6,1
2017 GMC Sierra 2500 SLT,2017,GMC,224971,33897,58,4.3,4
2019 Ford F-250 Platinum,2019,Ford,14948,70991,100,4.6,0
2017 Nissan Titan SL,2017,Nissan,35847,34988,366,4.7,2
2017 Chevrolet Silverado 2500 LTZ,2017,Chevrolet,32596,55980,114,4.7,6
2016 Chevrolet Silverado 1500 LT,2016,Chevrolet,83784,29800,114,4.7,6
2017 RAM 1500 Express,2017,RAM,78570,25986,100,4.9,1
2015 Chevrolet Silverado 1500 LT,2015,Chevrolet,81017,24900,2135,4.9,6
2013 GMC Sierra 1500 SLE,2013,GMC,84961,24719,69,4.6,4
2017 RAM Express,2017,RAM,47594,27995,52,3.8,1
2018 RAM 2500 Tradesman,2018,RAM,82569,31999,21,4.6,1
2017 Ford F-150 XLT,2017,Ford,20556,35980,1,5.0,0
2015 RAM 1500 Laramie,2015,RAM,25596,32480,1,5.0,1
2011 Chevrolet Silverado 1500 LT,2011,Chevrolet,119648,17984,36,4.5,6
2016 Chevrolet Silverado 1500 2LT,2016,Chevrolet,47305,36875,86,4.8,6
2017 Chevrolet Silverado 1500 1LT,2017,Chevrolet,31624,31990,3983,4.3,6
2014 RAM 1500 Express,2014,RAM,101056,22497,130,4.5,1
2017 RAM 1500 Rebel,2017,RAM,51147,35451,10,3.6,1
2017 RAM 1500 Longhorn,2017,RAM,51997,38988,99,4.8,1
2019 Toyota Tundra Limited,2019,Toyota,13291,42988,10,4.9,3
2015 Ford F-350 Lariat,2015,Ford,78698,46997,299,4.1,0
2018 GMC Sierra 1500 SLT,2018,GMC,22974,39900,184,4.8,4
2020 Chevrolet Silverado 1500 LT,2020,Chevrolet,11451,38500,3327,3.6,6
2019 RAM 1500 Big Horn,2019,RAM,24096,38890,113,5.0,1
2018 Ford F-150 Lariat,2018,Ford,21857,47999,2,3.0,0
2012 GMC Sierra 1500 SLE,2012,GMC,126914,17998,525,4.6,4
2019 RAM 1500 Laramie,2019,RAM,15455,51495,34,4.4,1
2019 Ford F-150 XL,2019,Ford,32819,31990,1811,4.3,0
2018 RAM 3500 Tradesman,2018,RAM,88224,29995,199,4.5,1
2015 GMC Sierra 1500 SLT,2015,GMC,107062,28999,50,2.9,4
2018 Ford F-150 XLT,2018,Ford,20188,33000,580,4.9,0
2017 GMC Sierra 1500 SLT,2017,GMC,96491,35980,59,4.8,4
2015 Chevrolet Silverado 3500 LTZ,2015,Chevrolet,144534,43988,59,4.8,6
2020 RAM 1500 Classic SLT,2020,RAM,8623,39777,20,4.8,1
2017 Chevrolet Silverado 1500 2LZ,2017,Chevrolet,28067,40999,271,4.9,6
2019 Toyota Tundra SR5,2019,Toyota,25109,40998,410,3.9,3
2020 RAM 1500 Laramie,2020,RAM,20153,37998,410,3.9,1
2020 Chevrolet Silverado 1500 LT,2020,Chevrolet,11862,43987,14,4.9,6
2019 RAM 1500 Laramie,2019,RAM,25225,46987,14,4.9,1
2019 Ford F-250 Lariat,2019,Ford,5033,68587,2374,4.8,0
2005 Dodge Ram 1500 SLT,2005,Dodge,163017,10500,3314,4.9,5
2019 GMC Sierra 1500 AT4,2019,GMC,14979,56726,980,4.7,4
2017 Ford F-150 Lariat,2017,Ford,17489,41900,796,4.7,0
2014 GMC Sierra 1500 SLE,2014,GMC,180459,20000,18,3.4,4
2016 GMC Sierra 2500 Denali,2016,GMC,65316,53133,9,4.2,4
2019 Chevrolet Silverado 1500 Custom Trail Boss,2019,Chevrolet,26250,43988,929,4.7,6
2019 Chevrolet Silverado 1500 High Country,2019,Chevrolet,22900,51995,670,4.2,6
2018 Ford F-150 XLT,2018,Ford,46962,30135,8,1.9,0
2017 RAM 1500 Express,2017,RAM,39452,28495,670,4.2,1
2020 Ford F-150,2020,Ford,14860,32177,670,4.2,0
2019 RAM 1500 Big Horn,2019,RAM,27200,34788,2252,4.6,1
2019 Nissan Titan SV,2019,Nissan,19228,36480,4,4.5,2
2019 Ford F-150 XL,2019,Ford,5903,38500,2252,4.6,0
2019 GMC Sierra 2500 Denali,2019,GMC,40312,63946,295,4.3,4
2020 Chevrolet Silverado 1500 LT,2020,Chevrolet,23959,39500,2252,4.6,6
2019 Chevrolet Silverado 1500 LT,2019,Chevrolet,25500,40995,28,5.0,6
2019 GMC Sierra 1500 SLT,2019,GMC,20300,48744,596,4.9,4
2018 Chevrolet Silverado 1500 LTZ,2018,Chevrolet,54618,44963,596,4.9,6
2019 GMC Sierra 1500 Denali,2019,GMC,55695,53992,596,4.9,4
2020 Ford F-150 Lariat,2020,Ford,20563,43477,435,4.6,0
2017 Ford F-250 XL,2017,Ford,125377,22990,0,0.0,0
2018 RAM 1500 ST,2018,RAM,70399,25990,0,0.0,1
2019 Ford F-150 XLT,2019,Ford,19900,36174,40,4.9,0
2017 Chevrolet Silverado 1500 LT,2017,Chevrolet,163801,24586,68,4.4,6
2019 RAM 1500 Big Horn,2019,RAM,25498,37983,68,4.4,1
2020 Chevrolet Silverado 1500 LT,2020,Chevrolet,14055,42999,77,4.0,6
2019 RAM 1500 Big Horn,2019,RAM,4608,36700,362,4.7,1
2018 Ford F-150 XLT,2018,Ford,10585,40087,161,4.7,0
2017 Chevrolet Silverado 1500 LT,2017,Chevrolet,44394,32850,59,4.3,6
2016 Ford F-350 XL,2016,Ford,104948,28980,161,4.7,0
2015 Chevrolet Silverado 1500 LT,2015,Chevrolet,84435,34995,1175,5.0,6
2019 Chevrolet Silverado 1500 LT,2019,Chevrolet,14236,40942,1175,5.0,6
2015 GMC Sierra 1500 SLT,2015,GMC,86783,34600,515,4.8,4
2019 Chevrolet Silverado 3500 LTZ,2019,Chevrolet,23179,60986,336,4.6,6
2016 Toyota Tundra 1794,2016,Toyota,60047,36995,2560,4.8,3
2011 Chevrolet Silverado 1500 LT,2011,Chevrolet,134510,17500,519,4.7,6
2017 Ford F-250 Platinum,2017,Ford,59416,58995,2560,4.8,0
2017 GMC Sierra 1500 Denali,2017,GMC,48154,41995,56,4.8,4
2017 RAM 1500 Big Horn,2017,RAM,62033,33130,521,4.1,1
2018 Ford F-150 XLT,2018,Ford,33115,38975,191,4.8,0
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,24253,43590,4009,4.3,6
2018 GMC Sierra 1500 SLT,2018,GMC,28706,39412,1087,4.7,4
